Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,14.130000,14.160000,13.920000,14.030000,9.678646,27546200
2017-04-25,13.900000,14.340000,13.800000,14.340000,9.892499,32268100
2017-04-26,14.160000,14.490000,14.000000,14.000000,9.657948,37045000
2017-04-27,13.990000,14.030000,13.560000,13.730000,9.471689,29078500
2017-04-28,13.850000,14.100000,13.690000,13.970000,9.637255,31061200
2017-05-02,14.060000,14.340000,13.850000,13.990000,9.651050,37830100
2017-05-03,14.040000,14.250000,13.950000,14.160000,9.768325,38357600
2017-05-04,14.000000,14.000000,13.580000,13.600000,9.382009,37695400
2017-05-05,13.690000,14.210000,13.660000,14.210000,9.802819,32788100
2017-05-08,14.130000,14.350000,13.980000,14.080000,9.713138,36464300
2017-05-09,14.150000,14.240000,14.040000,14.140000,9.754528,28008600
2017-05-10,14.340000,14.750000,14.310000,14.730000,10.161540,46271700
2017-05-11,14.880000,14.920000,14.640000,14.820000,10.223629,29318000
2017-05-12,15.500000,15.580000,15.350000,15.450000,10.658237,83518200
2017-05-15,15.770000,15.870000,15.650000,15.680000,10.816903,46914700
2017-05-16,15.770000,15.780000,15.520000,15.700000,10.830700,34469300
2017-05-17,15.560000,15.720000,15.510000,15.610000,10.768613,30023400
2017-05-18,12.450000,14.000000,12.450000,13.150000,9.071572,142924900
2017-05-19,13.750000,13.900000,13.460000,13.620000,9.395804,70983900
2017-05-22,13.350000,13.510000,13.000000,13.400000,9.244037,55014900
2017-05-23,13.450000,13.600000,13.380000,13.490000,9.306123,48520100
2017-05-24,13.750000,14.090000,13.690000,14.050000,9.692441,54065800
2017-05-25,13.970000,14.190000,13.630000,13.740000,9.478587,45030800
2017-05-26,13.470000,13.790000,13.400000,13.680000,9.437196,63326900
2017-05-29,13.680000,13.680000,13.680000,13.680000,9.437196,0
2017-05-30,13.550000,13.640000,13.360000,13.360000,9.216443,34663800
2017-05-31,13.210000,13.310000,12.950000,12.960000,8.940501,45628800
2017-06-01,13.160000,13.290000,12.820000,12.820000,8.843921,42873400
2017-06-02,12.790000,13.050000,12.680000,13.050000,9.002588,43192600
2017-06-05,12.960000,13.240000,12.920000,13.180000,9.092269,31419400
2017-06-06,13.230000,13.330000,13.030000,13.180000,9.092269,35558700
2017-06-07,13.280000,13.340000,12.810000,12.870000,8.878414,44355600
2017-06-08,12.780000,12.960000,12.710000,12.840000,8.857719,27749200
2017-06-09,12.960000,13.100000,12.830000,12.850000,8.864617,30382100
2017-06-12,12.970000,13.030000,12.770000,12.900000,8.899109,30680700
2017-06-13,12.950000,13.020000,12.770000,12.940000,8.926705,22891000
2017-06-14,12.940000,13.040000,12.610000,12.620000,8.705951,67382800
2017-06-15,12.620000,12.620000,12.620000,12.620000,8.705951,0
